BRIDGE | DEBUG | 10:58:42 | 32.88 | Setting object Moon parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:58:42 | 32.88 | modifyObject() : Moon
BRIDGE | DEBUG | 10:58:43 | 32.88 | Position: (2.878, -0.628, 1.262), scale: (0.020, 0.020, 0.020), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:43 | 32.88 | Could not find TextMeshPro component on object that was supposed to be updated: Moon
BRIDGE | DEBUG | 10:58:43 | 32.88 | Mesh bounding box: Center: (2.878, -0.628, 1.262), Extents: (0.012, 0.010, 0.012)
BRIDGE | TRACE | 10:58:43 | 32.88 | MakeObject() : earthLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:43 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:43 | 32.88 | transmitObject(), Obj Name: earthLabel, object guid: 15d1a7b4-c993-40f7-bb87-53ad0f5d5739
BRIDGE | TRACE | 10:58:43 | 32.88 | Transmitting Object, message guid: 5f8bc39d-982d-49bb-ad41-852512755796
BRIDGE | TRACE | 10:58:43 | 32.88 | initializeObject() : earthLabel
BRIDGE | DEBUG | 10:58:43 | 32.88 | Setting object earthLabel parent to Earth
BRIDGE | TRACE | 10:58:43 | 32.88 | modifyObject() : earthLabel
BRIDGE | DEBUG | 10:58:43 | 32.88 | Position: (0.529, -0.468, 1.757), scale: (0.800, 0.800, 0.800), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:43 | 32.88 | Modifying Text: Earth
BRIDGE | DEBUG | 10:58:43 | 32.88 | Mesh bounding box: Center: (0.530, -0.468, 1.756), Extents: (0.089, 0.030, 0.019)
BRIDGE | TRACE | 10:58:43 | 32.88 | MakeObject() : earthSizeLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:43 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:43 | 32.88 | transmitObject(), Obj Name: earthSizeLabel, object guid: e72e800c-1ba4-473a-94f6-cf868311bbb9
BRIDGE | TRACE | 10:58:43 | 32.88 | Transmitting Object, message guid: 0d1c5a73-d819-404e-8f95-a6fad56530b2
BRIDGE | TRACE | 10:58:43 | 32.88 | initializeObject() : earthSizeLabel
BRIDGE | DEBUG | 10:58:43 | 32.88 | Setting object earthSizeLabel parent to Earth
BRIDGE | TRACE | 10:58:43 | 32.88 | modifyObject() : earthSizeLabel
BRIDGE | DEBUG | 10:58:43 | 32.88 | Position: (0.529, -0.788, 1.757), scale: (0.008, 0.008, 0.008), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:44 | 32.88 | Modifying Text: 8000 miles
